,Country Name,Country Code,Year,NY.GDP.MKTP.CD,SE.ADT.1524.LT.FE.ZS,SE.ADT.1524.LT.MA.ZS,SL.AGR.EMPL.FE.ZS,SL.AGR.EMPL.ZS,SL.IND.EMPL.FE.ZS,SL.IND.EMPL.ZS,SL.UEM.TOTL.ZS,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.POP.TOTL.FE.IN,SP.POP.TOTL.MA.IN
6993,India,IND,1960,37029883847.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,42.506,19.633,445954579.0,215819000.0,230135579.0
6994,India,IND,1961,39232435753.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,42.294,19.446,456351876.0,220791299.0,235560577.0
6995,India,IND,1962,42161481825.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,42.101,19.205,467024193.0,225898332.0,241125862.0
6996,India,IND,1963,48421923421.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,41.907,18.964,477933619.0,231120329.0,246813291.0
6997,India,IND,1964,56480289896.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,41.721,18.761,489059309.0,236446379.0,252612930.0
6998,India,IND,1965,59554854576.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,41.346,19.642,500114346.0,241740859.0,258373487.0
6999,India,IND,1966,45865462034.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,40.918,19.342,510992617.0,246951009.0,264041608.0
7000,India,IND,1967,50134942161.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,40.592,19.082,521987069.0,252216091.0,269770979.0
7001,India,IND,1968,53085455825.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,40.207,17.778,533431909.0,257695427.0,275736482.0
7002,India,IND,1969,58447994967.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,39.792,17.51,545314670.0,263380464.0,281934206.0
7003,India,IND,1970,62422483001.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,39.533,17.228,557501301.0,269208897.0,288292405.0
7004,India,IND,1971,67351407965.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,39.43,16.938,569999178.0,275180236.0,294818942.0
7005,India,IND,1972,71463193831.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,39.173,16.643,582837973.0,281308597.0,301529376.0
7006,India,IND,1973,85515269585.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,38.962,16.27,596107483.0,287642024.0,308465459.0
7007,India,IND,1974,99525899116.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,38.629,15.786,609721951.0,294137889.0,315584063.0
7008,India,IND,1975,98472796457.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,37.937,15.381,623524219.0,300723268.0,322800952.0
7009,India,IND,1976,102717000000.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,37.665,15.009,637451448.0,307373867.0,330077580.0
7010,India,IND,1977,121487000000.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,36.89,14.662,651685628.0,314189303.0,337496325.0
7011,India,IND,1978,137300000000.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,36.383,14.288,666267760.0,321198151.0,345069608.0
7012,India,IND,1979,152992000000.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,36.252,13.965,681248383.0,328422054.0,352826329.0
7013,India,IND,1980,186325000000.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,36.214,13.676,696828385.0,335953058.0,360875327.0
7014,India,IND,1981,193491000000.0,40.32152176,66.31487274,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,36.024,13.37,712869298.0,343719452.0,369149846.0
7015,India,IND,1982,200716000000.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,35.605,13.044,729169466.0,351626946.0,377542519.0
7016,India,IND,1983,218262000000.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,35.3,12.72,745826546.0,359724278.0,386102269.0
7017,India,IND,1984,212158000000.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,35.094,12.412,762895156.0,368029660.0,394865497.0
7018,India,IND,1985,232512000000.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,34.602,12.102,780242084.0,376475662.0,403766421.0
7019,India,IND,1986,248986000000.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,34.483,11.82,797878993.0,385067312.0,412811682.0
7020,India,IND,1987,279034000000.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,33.681,11.522,815716125.0,393755601.0,421960524.0
7021,India,IND,1988,296590000000.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,33.166,11.236,833729681.0,402535292.0,431194389.0
7022,India,IND,1989,296042000000.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,32.549,10.956,852012673.0,411461378.0,440551295.0
7023,India,IND,1990,320979000000.0,81.20149222001619,87.48422988207516,29.81155301685157,30.037948464139642,12.77908885851325,19.82103756585528,7.8801160735622995,31.816,10.691,870452165.0,420468106.0,449984059.0
7024,India,IND,1991,270105000000.0,49.34918976,73.50971985,76.42886,63.50056,11.31811,14.91631,6.737,31.423,10.455,888941756.0,429478264.0,459463492.0
